eduid,id,official_name,official_short,official_address,official_region,official_years,our_name,our_short,our_years
100007363,000160571,Gymnázium Pavla Országha Hviezdoslava,Gymnázium P.O.Hviezdos.,"Hviezdoslavovo nám., Dolný Kubín",Žilinský,"gym:8,gym:5,gym:4",,,
100010008,000160580,Gymnázium - Gimnázium,Gymnázium,"Nám. padlých hrdinov 2, Fiľakovo",Banskobystrický,"gym:8,gym:4",,,
100003436,000160628,Gymnázium,Gymnázium,"Školská 2, Dubnica nad Váhom",Trenčiansky,"gym:8,gym:5,gym:4",,,
100009934,000160644,Gymnázium Andreja Sládkoviča,Gymnázium A.S.,"M. R. Štefánika 8, Krupina",Banskobystrický,"gym:8,gym:4",,,
100007532,000160652,Gymnázium,Gymnázium,"Jesenského, Kysucké Nové Mesto",Žilinský,"gym:8,gym:4",,,
100007754,000160679,Gymnázium Michala Miloslava Hodžu,Gymnázium M. M. Hodžu,"M. M. Hodžu 9, Liptovský Mikuláš",Žilinský,"gym:8,gym:4",,,
100010062,000160687,Gymnázium Boženy Slančíkovej Timravy,Gymnázium B.S.T.,"Haličská cesta 9, Lučenec",Banskobystrický,"gym:8,gym:4",,,
100008013,000160695,Gymnázium Viliama Paulinyho Tótha,Gymnázium V.Paulinyho T,"Malá hora, Martin",Žilinský,"gym:8,gym:5,gym:4",,,
100010774,000160709,Gymnázium  Augusta Horislava Škultétyho,Gymnázium A.H.Š.,"Školská 21, Veľký Krtíš",Banskobystrický,"gym:8,gym:4",,,
100008264,000160717,Gymnázium Antona Bernoláka,Gymnázium A. Bernoláka,"Ul. Mieru 23, Námestovo",Žilinský,"gym:8,gym:5,gym:4",,,
100011004,000160725,Gymnázium Františka Švantnera,Gymnázium F.Š.,"Bernolákova 9, Nová Baňa",Banskobystrický,"gym:8,gym:4",,,
100003989,000160741,Gymnázium Dominika Tatarku,Gymnázium Dominika Tatarku,"Školská 8, Považská Bystrica",Trenčiansky,"gym:8,gym:5,gym:4",,,
100004249,000160750,Gymnázium Vavrinca Benedikta Nedožerského,Gymnáz.V.B.Nedožerského,"Matice slovenskej 16, Prievidza",Trenčiansky,"gym:8,gym:5,gym:4",,,
100004429,000160768,Gymnázium,Gymnázium,"Ul. 1. mája 905, Púchov",Trenčiansky,"gym:8,gym:4",,,
100010566,000160784,Gymnázium Ivana Kraska - Ivan Krasko Gimnázium,Gymnázium I.K.,"P. Hostinského 3, Rimavská Sobota",Banskobystrický,"gym:8,gym:4",,,
100008573,000160792,Gymnázium,Gymnázium,"Š. Moyzesa, Ružomberok",Žilinský,"gym:8,gym:4",,,
100008798,000160822,Gymnázium Martina Hattalu,Gymnázium Martina Hattalu,"Železničiarov 278, Trstená",Žilinský,"gym:8,gym:5,gym:4",,,
100007327,000160849,Gymnázium,Gymnázium,"Ľ. Štúra, Turzovka",Žilinský,"gym:8,gym:4",,,
100010896,000160865,Gymnázium Ľudovíta Štúra,Gymnázium Ľ.Š.,"Hronská 3, Zvolen",Banskobystrický,"gym:8,gym:4",,,
100011224,000160881,Gymnázium Milana Rúfusa,Gymnázium M.R.,"Ul. J. Kollára 2, Žiar nad Hronom",Banskobystrický,"gym:8,gym:4",,,
100009276,000160890,Gymnázium,Gymnázium,"Veľká okružná, Žilina",Žilinský,"gym:8,gym:4",,,
100009129,000160903,Gymnázium,Gymnázium,"Hlinská 29, Žilina",Žilinský,"gym:8,gym:4",,,
100011435,000160911,Gymnázium Leonarda Stöckela,Gymnázium,"Jiráskova 12, Bardejov",Prešovský,"gym:8,gym:5,gym:4",,,
100014526,000160938,Gymnázium,Gymnázium,"SNP 1, Gelnica",Košický,"gym:8,gym:4",,,
100011791,000160954,Gymnázium arm. gen. Ludvíka Svobodu,Gymnáz. gen. L. Svobodu,"Komenského 4, Humenné",Prešovský,"gym:8,gym:5,gym:4",,,
100012018,000160962,Gymnázium Pavla Országha Hviezdoslava,Gymn. P. O.Hviezdoslava,"Hviezdoslavova 20, Kežmarok",Prešovský,"gym:8,gym:4",,,
100014710,000160971,Gymnázium Milana Rastislava Štefánika,Gymnázium M.R.Štefánika,"Nám. L. Novomeského 4, Košice-Staré Mesto",Košický,"gym:8,gym:5,gym:4",,,
100014731,000160989,Gymnázium,Gymnázium,"Šrobárova 1, Košice-Staré Mesto",Košický,"gym:8,gym:4",,,
100014722,000160997,Gymnázium,Gymnázium,"Poštová 9, Košice-Staré Mesto",Košický,"gym:8,gym:4",,,
100014689,000161004,GYMNÁZIUM a Základná škola s vyučovacím jazykom maďarským - Márai Sándor Magyar Tanítási Nyelvű Gimnázium és Alapiskola,Gymnázium a ZŠ s VJM,"Kuzmányho 6, Košice-Staré Mesto",Košický,"gym:8,gym:4",,,
100016393,000161012,Gymnázium - Gimnázium,Gymnázium,"Horešská 18, Kráľovský Chlmec",Košický,"gym:8,gym:4",,,
100016096,000161021,Gymnázium,Gymnázium,"Lorencova ulica 46, Krompachy",Košický,"gym:8,gym:4",,,
100012238,000161039,Gymnázium Janka Francisciho - Rimavského,Gymn. J. F.- Rimavského,"Kláštorská 37, Levoča",Prešovský,"gym:8,gym:4",,,
100013185,000161047,Gymnázium,Gymnázium,"Komenského 13, Lipany",Prešovský,"gym:8,gym:4",,,
100015543,000161063,Gymnázium Pavla Horova,Gymnázium Pavla Horova,"Masarykova 1, Michalovce",Košický,"gym:8,gym:5,gym:4",,,
100015268,000161071,Gymnázium Štefana Moysesa,Gymnázium Š. Moysesa,"Školská 13, Moldava nad Bodvou",Košický,"gym:8,gym:4",,,
100012434,000161098,Gymnázium,Gymnázium,"Kukučínova 1, Poprad",Prešovský,"gym:5,gym:4,gym:8",,,
100012905,000161101,Gymnázium Jána Adama Raymana,Gymnázium J. A. Raymana,"Mudroňova 20, Prešov",Prešovský,"gym:8,gym:4",,,
100012852,000161110,Gymnázium,Gymnázium,"Konštantínova 2, Prešov",Prešovský,"gym:8,gym:5,gym:4",,,
