eduid,id,name,short,address,years
100007749,710175280,Evanjelická základná škola biskupa Jura Janošku,Základná škola pri ESŠ,"Komenského 10, Liptovský Mikuláš","zs:9,zs:10"
100005480,710175396,Základná škola s materskou školou pri zdravotníckom zariadení,ZŠ s MŠ pri z.z. - Spoj. šk. int.,"29. augusta 1, Levice","zs:9,zs:10"
100005953,710175418,Základná škola pri zdravotníckom zariadení,ZŠ pri z.z. - Spoj. šk.,"Slovenská 11, Nové Zámky","zs:9,zs:10"
100005834,710175426,Hotelová akadémia,Hotel. A - Spoj. šk.,"Slančíkovej 2, Nitra","ss:4,zs:9,ss:5"
100005832,710175434,Stredná športová škola,Stred. šport. šk. - Spoj. šk.,"Slančíkovej 2, Nitra","gym:4,gym:8,ss:4"
100005927,710175442,Obchodná akadémia,OA - Spoj. šk.,"Komárňanská 28, Nové Zámky","ss:4,zs:9"
100005415,710178220,Cirkevná ZŠ s MŠ MARIANUM,Cirk. ZŠ s MŠ - Cirk. SŠ,"Biskupa Királya 30, Komárno","zs:9,zs:10"
100000142,710178360,Súkromná základná škola Cambridge International School,SŠ-ZŠ Cambridge,"Úprkova 3, Bratislava-Staré Mesto","zs:9,zs:10"
100002701,710178387,Základná škola s materskou školou,Základná škola s MŠ,Prietržka,"zs:9,zs:10"
100015918,710201338,Odborné učilište,Spoj.škola int. - OU,"Zeleného stromu 8, Rožňava","ss:3,ss"
100006767,710201354,Obchodná akadémia,OA - Spoj. šk.,"Nivy 2, Šaľa","ss:4,zs:9"
100006765,710201362,Stredná odborná škola technická,SOŠ technická - Spoj. šk.,"Nivy 2, Šaľa","ss:4,zs:9,ss:3,ss:1,ss:2"
100004951,710201656,Základná škola,ZŠ s VJM - Alapiskola,Bešeňov,"zs:9,zs:10"
100015374,710201753,Súkromná základná škola pri kúpeľoch,Súkr.ZŠsMŠ pri kúpeľoch,"Štós - kúpele č.242, Štós","zs:9,zs:10"
100007394,710202032,Základná škola s materskou školou pri zdravotníckom zariadení,ZŠ s MŠ pri ZZ pri SŠ,"Nemocničná 4, Dolný Kubín","zs:9,zs:10"
